epoch,iteration,loss
0,625,1.37841,1250,1.3802
2,1875,1.3791
3,2500,1.3772
4,3125,1.3790
5,3750,1.37886,4375,1.3785
7,5000,1.3783
8,5625,1.3768
9,6250,1.3782
10,6875,1.376511,7500,1.3787
12,8125,1.3790
13,8750,1.3782
14,9375,1.3767
15,10000,1.377016,10625,1.3781
17,11250,1.3784
18,11875,1.3778
19,12500,1.3767
20,13125,1.377121,13750,1.3763
22,14375,1.3769
23,15000,1.3772
24,15625,1.3769
25,16250,1.376026,16875,1.3766
27,17500,1.3765
28,18125,1.3748
29,18750,1.3783
30,19375,1.375331,20000,1.3768
32,20625,1.3754
33,21250,1.3768
34,21875,1.3760
35,22500,1.376836,23125,1.3739
37,23750,1.3763
38,24375,1.3751
39,25000,1.3754
40,25625,1.375441,26250,1.3746
42,26875,1.3743
43,27500,1.3740
44,28125,1.3750
45,28750,1.373346,29375,1.3750
47,30000,1.3739
48,30625,1.3741
49,31250,1.3752
50,31875,1.374651,32500,1.3737
52,33125,1.3728
53,33750,1.3735
54,34375,1.3751
55,35000,1.373356,35625,1.3711
57,36250,1.3746
58,36875,1.3727
59,37500,1.3737
60,38125,1.373861,38750,1.3708
62,39375,1.3715
63,40000,1.3735
64,40625,1.3710
65,41250,1.372366,41875,1.3716
67,42500,1.3705
68,43125,1.3723
69,43750,1.3715
70,44375,1.369371,45000,1.3705
72,45625,1.3691
73,46250,1.3684
74,46875,1.3706
75,47500,1.369776,48125,1.3710
77,48750,1.3712
78,49375,1.3683
79,50000,1.3705
80,50625,1.370481,51250,1.3703
82,51875,1.3683
83,52500,1.3697
84,53125,1.3710
85,53750,1.365886,54375,1.3665
87,55000,1.3684
88,55625,1.3671
89,56250,1.3664
90,56875,1.367391,57500,1.3646
92,58125,1.3646
93,58750,1.3664
94,59375,1.3638
95,60000,1.3690
