epoch,iteration,loss
0,625,0.90041,1250,0.6822
2,1875,0.6827
3,2500,0.7615
4,3125,0.7842
5,3750,0.66236,4375,0.5279
7,5000,0.5203
8,5625,0.6419
9,6250,0.5307
10,6875,0.432611,7500,0.5761
12,8125,0.5545
13,8750,0.4738
14,9375,0.5197
15,10000,0.507416,10625,0.6477
17,11250,0.4209
18,11875,0.4410
19,12500,0.3900
20,13125,0.215521,13750,0.3306
22,14375,0.1986
23,15000,0.3641
24,15625,0.2080
25,16250,0.158326,16875,0.2740
27,17500,0.3340
28,18125,0.1618
29,18750,0.2505
30,19375,0.194331,20000,0.1490
32,20625,0.2003
33,21250,0.1637
34,21875,0.1475
35,22500,0.164336,23125,0.2601
37,23750,0.2244
38,24375,0.1647
39,25000,0.1884
40,25625,0.034741,26250,0.0117
42,26875,0.0200
43,27500,0.0167
44,28125,0.0059
45,28750,0.005446,29375,0.0127
47,30000,0.0026
48,30625,0.0025
49,31250,0.0057
50,31875,0.006051,32500,0.0095
52,33125,0.0045
53,33750,0.0040
54,34375,0.0029
55,35000,0.002356,35625,0.0048
57,36250,0.0057
58,36875,0.0037
59,37500,0.0026
60,38125,0.002661,38750,0.0010
62,39375,0.0047
63,40000,0.0023
64,40625,0.0013
65,41250,0.004566,41875,0.0021
67,42500,0.0034
68,43125,0.0014
69,43750,0.0042
70,44375,0.002571,45000,0.0035
72,45625,0.0024
73,46250,0.0015
74,46875,0.0022
75,47500,0.002276,48125,0.0018
77,48750,0.0017
78,49375,0.0019
79,50000,0.0030
80,50625,0.001381,51250,0.0021
82,51875,0.0020
83,52500,0.0108
84,53125,0.0070
85,53750,0.002086,54375,0.0028
87,55000,0.0013
88,55625,0.0025
89,56250,0.0084
90,56875,0.000991,57500,0.0017
92,58125,0.0014
93,58750,0.0009
94,59375,0.0017
95,60000,0.0017
