epoch,iteration,loss
0,1562,0.74921,3124,0.6965
2,4686,0.6063
3,6248,0.7436
4,7810,0.5518
5,9372,0.56046,10934,0.7199
7,12496,0.5501
8,14058,0.6027
9,15620,0.6075
10,17182,0.558211,18744,0.4995
12,20306,0.4955
13,21868,0.4332
14,23430,0.4829
15,24992,0.578916,26554,0.6174
17,28116,0.6141
18,29678,0.6068
19,31240,0.5661
20,32802,0.521821,34364,0.4581
22,35926,0.5476
23,37488,0.5330
24,39050,0.4296
25,40612,0.545826,42174,0.5063
27,43736,0.4421
28,45298,0.4592
29,46860,0.4778
30,48422,0.300731,49984,0.2578
32,51546,0.2987
33,53108,0.2639
34,54670,0.3168
35,56232,0.358936,57794,0.3693
37,59356,0.2479
38,60918,0.1918
39,62480,0.2742
40,64042,0.274941,65604,0.2578
42,67166,0.4129
43,68728,0.3480
44,70290,0.2128
45,71852,0.248846,73414,0.2847
47,74976,0.2964
48,76538,0.2704
49,78100,0.1596
50,79662,0.366051,81224,0.2423
52,82786,0.1863
53,84348,0.1666
54,85910,0.1969
55,87472,0.314656,89034,0.2755
57,90596,0.4382
58,92158,0.2234
59,93720,0.2978
60,95282,0.075861,96844,0.0844
62,98406,0.0470
63,99968,0.0138
64,101530,0.0227
65,103092,0.020566,104654,0.1364
67,106216,0.0774
68,107778,0.0682
69,109340,0.0379
70,110902,0.034671,112464,0.0525
72,114026,0.0194
73,115588,0.0431
74,117150,0.0345
75,118712,0.113276,120274,0.1230
77,121836,0.0953
78,123398,0.0647
79,124960,0.0481
80,126522,0.046381,128084,0.0125
82,129646,0.0061
83,131208,0.0057
84,132770,0.0037
85,134332,0.002986,135894,0.0022
87,137456,0.0026
88,139018,0.0020
89,140580,0.0013
90,142142,0.000891,143704,0.0011
92,145266,0.0009
93,146828,0.0008
94,148390,0.0009
95,149952,0.0009
