epoch,iteration,loss
0,78,5.69711,
2,234,5.5959
3,312,5.6929
4,390,5.6450
5,468,5.56306
7,624,5.5317
8,702,5.6338
9,780,5.6207
10,858,5.52071
12,1014,5.4196
13,1092,5.4308
14,1170,5.4746
15,1248,5.51651
17,1404,5.4612
18,1482,5.4893
19,1560,5.4866
20,1638,5.4445
22,1794,5.4763
23,1872,5.4993
24,1950,5.4720
25,2028,5.51752
27,2184,5.6576
28,2262,5.5233
29,2340,5.4746
30,2418,5.4911
32,2574,5.4459
33,2652,5.4330
34,2730,5.6373
35,2808,5.5045
37,2964,5.4249
38,3042,5.5326
39,3120,5.4948
40,3198,5.4952
42,3354,5.3894
43,3432,5.4803
44,3510,5.5670
45,3588,5.4178
47,3744,5.5525
48,3822,5.4629
49,3900,5.4628
50,3978,5.3875
52,4134,5.4303
53,4212,5.4557
54,4290,5.4161
55,4368,5.4191
57,4524,5.4526
58,4602,5.4253
59,4680,5.4058
60,4758,5.5323
62,4914,5.4722
63,4992,5.5429
64,5070,5.5333
65,5148,5.5241
67,5304,5.4896
68,5382,5.4506
69,5460,5.4417
70,5538,5.4827
72,5694,5.5200
73,5772,5.4255
74,5850,5.4687
75,5928,5.5274
77,6084,5.4357
78,6162,5.4858
79,6240,5.3483
80,6318,5.5320
82,6474,5.4240
83,6552,5.4479
84,6630,5.5388
85,6708,5.4434
87,6864,5.3999
88,6942,5.4525
89,7020,5.5140
90,7098,5.5667
92,7254,5.5324
93,7332,5.4709
94,7410,5.4997
95,7488,5.3775
97,7644,5.4787
98,7722,5.5436
99,7800,5.5212
100,7878,5.4798
102,8034,5.4461
103,8112,5.4503
104,8190,5.4874
105,8268,5.4355
107,8424,5.4851
108,8502,5.4260
109,8580,5.5067
110,8658,5.5544
112,8814,5.3861
113,8892,5.4559
114,8970,5.4899
115,9048,5.4636
117,9204,5.4771
118,9282,5.4222
119,9360,5.4384
120,9438,5.461
122,9594,5.5384
123,9672,5.4403
124,9750,5.4808
125,9828,5.63231
127,9984,5.5463
128,10062,5.4242
129,10140,5.4701
130,10218,5.40281
132,10374,5.4271
133,10452,5.4236
134,10530,5.4988
135,10608,5.3956136
137,10764,5.3198
138,10842,5.4947
139,10920,5.5005
140,10998,5.4748141
142,11154,5.4052
143,11232,5.5001
144,11310,5.3957
145,11388,5.4408146
147,11544,5.5055
148,11622,5.4811
149,11700,5.5098
150,11778,5.4657151
152,11934,5.4349
153,12012,5.4318
154,12090,5.4465
155,12168,5.3605156
157,12324,5.4012
158,12402,5.4497
159,12480,5.5783
160,12558,5.511116
162,12714,5.5225
163,12792,5.5721
164,12870,5.4743
165,12948,5.49991
167,13104,5.4770
168,13182,5.4995
169,13260,5.3690
170,13338,5.406717
172,13494,5.4892
173,13572,5.3798
174,13650,5.4865
175,13728,5.47881
177,13884,5.4824
178,13962,5.4249
179,14040,5.4711
180,14118,5.41401
182,14274,5.4840
183,14352,5.4382
184,14430,5.4164
185,14508,5.50081
187,14664,5.4313
188,14742,5.4532
189,14820,5.4283
190,14898,5.45001
192,15054,5.4723
193,15132,5.4610
194,15210,5.4820
195,15288,5.5007
