epoch,iteration,loss
0,78,5.83811
2,234,5.6727
3,312,5.4684
4,390,5.5476
5,468,5.41746
7,624,5.5002
8,702,5.4486
9,780,5.4829
10,858,5.458911
12,1014,5.3654
13,1092,5.3853
14,1170,5.3982
15,1248,5.339816
17,1404,5.2546
18,1482,5.1822
19,1560,5.2532
20,1638,5.260521
22,1794,5.2065
23,1872,5.1732
24,1950,5.2345
25,2028,5.231426
27,2184,5.1813
28,2262,5.1640
29,2340,5.1890
30,2418,5.088131
32,2574,5.1458
33,2652,5.1441
34,2730,5.0625
35,2808,5.110736
37,2964,5.1175
38,3042,5.1078
39,3120,5.1694
40,3198,5.125341
42,3354,5.0844
43,3432,5.0753
44,3510,5.0315
45,3588,5.105446
47,3744,5.0794
48,3822,5.0798
49,3900,5.0765
50,3978,5.057951
52,4134,5.0212
53,4212,5.0112
54,4290,5.1545
55,4368,5.077456
57,4524,5.0056
58,4602,5.0216
59,4680,5.0202
60,4758,5.048561
62,4914,5.0093
63,4992,5.0167
64,5070,4.9743
65,5148,5.012566
67,5304,5.0757
68,5382,5.0435
69,5460,4.9531
70,5538,4.995671
72,5694,4.9587
73,5772,5.0362
74,5850,5.0127
75,5928,4.996376
77,6084,4.9846
78,6162,4.9943
79,6240,5.0176
80,6318,4.973581
82,6474,4.9837
83,6552,4.9718
84,6630,4.9853
85,6708,4.951386
87,6864,5.0103
88,6942,4.9368
89,7020,4.9542
90,7098,5.042691
92,7254,4.9431
93,7332,5.0303
94,7410,4.9359
95,7488,4.9696
